Original_Text,City,Country
"Josef Marcotty
22 Boulevard Militaire Brussel",Bruxelles - Brussel,Belgium
"Camus Duchemin . Cie
29 Rue d’Astorg Paris (8e",Paris,France
"Verein für Chemische Industrie Ag.
Frankfurt a/M.
John Claes
12 Dupont str. Brussel",Frankfurt,Germany
"Verein für Chemische Industrie Ag.
Frankfurt a/M.
John Claes
12 Dupont str. Brussel",Bruxelles - Brussel,Belgium
"Tréfileries et Laminoirs du Havre
28 Rue de Madrid Paris
Vertgw. Beaurain Frères
4 Eierenmarkt Antwerpen",Antwerp,Belgium
"Theo. M. Meeùs
55 Meirplaats Antwerpen",Antwerp,Belgium
"C. L. Rins Kipdorp 21 Antwerpen
Ag. Gen. Belgique du
Bureau de Vente des Laminoirs Suisses
d’Aluminium à Bale",Antwerp,Belgium
"Electrotechnische Fabrik J. Carl
Oberweimar (Thür.)",,
Alfred Lauwers Antwerpen,Antwerp,Belgium
"Commercial Solvents Corporation
of America Barter Trading Corporat.
European Distributors: Imperial House Kingsway London W.C.2",Greater London,United Kingdom
"Duchateau Lefebvre Vanderborght. Cie
Distillerie de la Pommeraie
Pommeroeul",,
"Gebr. Kahn Spa Straat 7
Brussel",Bruxelles - Brussel,Belgium
"Botte . Cie 151 Rue Stephanie
Laeken Brussel",Laeken - Laken,Belgium
"Botte . Cie 151 Rue Stephanie
Laeken Brussel",Bruxelles - Brussel,Belgium
"Actien Ges für Aniline Fabrikation
Berlin S.O
Clouet & Pernier 91 Grensstraat
Brussel",Bruxelles - Brussel,Belgium
"Maschinenbau Akt. Ges. Golzern-
Golzern (Saxe) Grimma",Grimma,Germany
"Aktien Maschinenbau Anstalt
vorm. Venuleth & Ellenberger Darmstadt",Darmstadt,Germany
"S. Lamm Renkin Str. 48
Brussel 16",Bruxelles - Brussel,Belgium
L. B. Donkers 43 45 Moons Str. Antwerpen,Antwerp,Belgium
"N.V. Hydr. en Diepboormij Vulkaan
v h. J. de Boer & C° Leeuwarden",Leeuwarden,Netherlands
"Georges Lemonnier Alg. Agent
16 Rijke Claren str. Brussel",Bruxelles - Brussel,Belgium
"C.W. Waters Ltd 72 Great Eastern Str. 72 Londen
C. Scheibler Auvelais",Greater London,United Kingdom
"Chemisch Fabrik Hamburg Lüneburg
Johanniswall 14 Hamburg",Hamburg,Germany
"Barter Trading Corporation Ltd
Imperial House Kingsway London W.C. 2",Greater London,United Kingdom
"A. Krautzberger & C° G. m. b. H.
Holzhausen bei Leipzig",Leipzig,Germany
"Sté An. Robert Victor Neher
Laminoirs d'Aluminium Emmishofen
(Suisse) Vertegenw. Henri Arez 9 Av. de l'Exposition Bxl",Brussels,Belgium
"Sté An. Robert Victor Neher
Laminoirs d'Aluminium Emmishofen
(Suisse) Vertegenw. Henri Arez 9 Av. de l'Exposition Bxl",Montreuil-le-Henri,France
"Perutz München
Boehringer Söhne Mannheim",Mannheim,Germany
Cableries de Seneffe Seneffe,,
L. Moentack Antwerpen Tel. 358,Antwerp,Belgium
"{ Bopp & Reuther Mannheim Waldhof
{ Schmidt & Steinbach armaturen fabrik
Inh. Georg Schuricht Dahlen Sa.",,
"Dr Alex. Wacker A.G. Prinzregentenstr. N 20
München",Munich,Germany
"Vve A. Lagazy 83 Rue de la Consolation
Leverancier der Accijnzen Brussel",Bruxelles - Brussel,Belgium
"A Krautzberger & C° Holzhausen
Agent A Marechal 24 rue du Mail Blles",,
"The Aerograph C° Ltd Londen
Alg. agent H. Walker 18 Rue Reamur
Paris",Paris,France
W. Kiefer 47 Veld straat Berchem,,
"Int. Reklame Institut Max John
Friedrichstr. 62 Berlin W. 8",,
"Georg Rahn & C°
Frankfurt a/M.",Frankfurt,Germany
Sté Produits Chimiques de Chimay Chimay Turnhout,Turnhout,Belgium
Sté Produits Chimiques de Chimay Chimay Turnhout,Chimay,Belgium
Anciens Etabl. Splichal,,
"Etablissements L. de Lamine S. An.
Ampsin",,
"Nestor Pasteyns, 16, rue Ad. Lavallée, Bruxelles",Rue,France
"Nestor Pasteyns, 16, rue Ad. Lavallée, Bruxelles",Lavallée,France
"Nestor Pasteyns, 16, rue Ad. Lavallée, Bruxelles",Brussels,Belgium
"Aluminiumwalzwerke A.G.
Schaffhausen
Central-Verkaufsstelle Wolf-Netter Ludwigshafen",Schaffhausen,Switzerland
"Aluminiumwalzwerke A.G.
Schaffhausen
Central-Verkaufsstelle Wolf-Netter Ludwigshafen",Ludwigshafen am Rhein,Germany
"F. Keller & Cie, 20, Kamekostr. Köln",Cologne,Germany
Paul Götze Breslau,Wrocław,Poland
"K. Hoefelmayr
Edelweiss Camembert Fabrik
Kempten i/ Allgäu",,
"Aug. Lüttgen
Mulheim a/ Rhein",Mülheim an der Ruhr,Germany
"Ahrtal Industrie Neuenahr
ci devant Hans Bonn",Bonn,Germany
"Ahrtal Industrie Neuenahr
ci devant Hans Bonn",Hans,France
"Sté An. des Produits refractaires et
Ceramiques d'Hautrage-Etat
~~Tertre~~ Hautrage Etat",,
"Association des Fabricants de Poteries en Grés S. A.
Bouffioulx",,
"Sté An. des Ateliers de Construction de
Hal Sect. Aluminium
Repr: Albert Sesino 2 Place des Bienfaiteurs Brussel",,
"Van Ersche - Heffinger 16 rue des Celestines
Liège",Liège,Belgium
"Leon Van Der Tucht = De Waele
Kronenburgstraat 59 Antwerpen",Antwerp,Belgium
"Cammus Duchemin & Co
29 Rue d'Astorg Paris 8me",Paris,France
"James Burrough Ltd
Cale Distillery Hutton Road Lambeth
London S.E.",Lambeth,United Kingdom
"James Burrough Ltd
Cale Distillery Hutton Road Lambeth
London S.E.",Greater London,United Kingdom
"Chemische Fabrik Nassovia
Mittelstr. 2-4 Berlin N.W. Luisen...",Berlin,Germany
"Bowdler & Bickerdike
Eagle Chemical Works Church Accrington
Lancashire",,
"Usine Crobely M<sup>me</sup> Pergaud
Mofelin Rouge Jura
Methyline ord.
Acetone <sup>Regie</sup> 98/99 et 99°5",Rougé,France
"x Cognat-Rozier & Fils Saint Rambert
d'Albon
(Drome)",,
"Distillerie de Bois des Cevennes S<sup>té</sup> An.
Usine à Reuniès par le Vigan (Gard)
Siège social 8 rue Colbert Marseille",Le Vigan,France
"Distillerie de Bois des Cevennes S<sup>té</sup> An.
Usine à Reuniès par le Vigan (Gard)
Siège social 8 rue Colbert Marseille",Vigan,Philippines
"Duclos Maurice courtier
104 r. de Richelieu Paris",Paris,France
"Duclos Maurice courtier
104 r. de Richelieu Paris",Richelieu,France
"Biggs S. Exp. & Imp. chemicals, naptha
methylated spirits, glue, acetates,
110 Cannon str E.C.",,
"Usines Nyffeler-Schupbach. à Kirchberg
 (Suisse)
 S<sup>té</sup> Comptoir des Produits Metallurgiques",Kirchberg,France
"Chemische Fabrik Griesheim Elektron
Francfort sur le Main
Rep. in Brussel A. Bogaerts
Rue des Chartreux 94
Brussel",Bruxelles - Brussel,Belgium
"J. G. Kielbaey Verdussen str. 14
Antwerpen",Antwerp,Belgium
"Zschimmer & Schwarz Chemnitz
Rep. Alfred Traub Brussel",Bruxelles - Brussel,Belgium
"Chemische Fabrik Wülfel Hannover
Rep. Alfred Trau Brussel",Bruxelles - Brussel,Belgium
"Chemische Fabrik Wülfel Hannover
Rep. Alfred Trau Brussel",Grad Trogir,Croatia
Fabriek van Chemische Produkten Schiedam,Schiedam,Netherlands
"Etablissements Rotheny
116 bis Rue de Paris Charenton Le Pont",Paris,France
"Keramchemie G.m.b.H.
Giessen i Hessen Andernach a/Rh.",Gießen,Germany
"Keramchemie G.m.b.H.
Giessen i Hessen Andernach a/Rh.",Andernach,Germany
"Sté An. des Usines de Froidvent
Anc. Us. Alfr. Bordet (Côte d'Or)",,
"Lagaze Constr. d'Instr. de Precision 155 rue de Laeken
Bxlles",Laeken - Laken,Belgium
"J. Van Schie
74 Stationweg Rotterdam Postbox 370",Rotterdam,Netherlands
"Usines de l'Allondon S.A. Genève
15 route de Florissant",Florissant,United States
"Les Produits chimiques de Chimay
Chimay",Chimay,Belgium
"Cie Metallurgique de la Campine Antwerpen
Korte Clarenstr 13",Antwerp,Belgium
"C. Jenatzy Leleux Sté An. 10 Rue Stephenson
Brussel Bxlles",Bruxelles - Brussel,Belgium
"Dr Wacker O.G. Munich
Vertgw. C. Honhon Bld du Laboratoire 35 Bxlles",,
Albany Chemical Co Albany N.Y.,City of Albany,United States
"W. J. Bush & Co Ash Grove Hackney London
Ag. Gen. pr la Belgique W. v. Trenckell. Fils, E.C.
Bxlles",,
"H. Basse Constructeur Breveté
6 Rue des Pierres Brussel",Pierres,France
"H. Basse Constructeur Breveté
6 Rue des Pierres Brussel",Bruxelles - Brussel,Belgium
L'Aluminium d'Amerique Pittsburgh P.A.,Pittsburgh,United States
"Sté Ariès 63 Avenue des Champs Elysées
Paris
Usines à : Paris, Courbevoie et Villeneuve La Garenne (Seine",Champs,France
"Sté Ariès 63 Avenue des Champs Elysées
Paris
Usines à : Paris, Courbevoie et Villeneuve La Garenne (Seine",Paris,France
"Sté Ariès 63 Avenue des Champs Elysées
Paris
Usines à : Paris, Courbevoie et Villeneuve La Garenne (Seine",Courbevoie,France
"L'Appula Sté An. Via Giulini 6 Milano
Agt Edm. Schutters 148 Ch. d'Anvers Bxlles",Milan,Italy
"Louis Coquely 350 Avenue Louise Brussel
Representatie voor nieuwe fabriek in opbouw.",Bruxelles - Brussel,Belgium
"Skilbeck Brothers
203, 4 & 5 Upper Thames Street London",Greater London,United Kingdom
"( Polak's Frutal Works Amersfoort
( N.V. Chemische Fabriek """"Gembo"""" Winschoten
( Etablissement Chiris Rue Ballu 13 Paris
Vrtgw. Alb. Couvreur 123 Rue Rogier Brussel
(Essences)",Paris,France
"( Polak's Frutal Works Amersfoort
( N.V. Chemische Fabriek """"Gembo"""" Winschoten
( Etablissement Chiris Rue Ballu 13 Paris
Vrtgw. Alb. Couvreur 123 Rue Rogier Brussel
(Essences)",Rougiers,France
"( Polak's Frutal Works Amersfoort
( N.V. Chemische Fabriek """"Gembo"""" Winschoten
( Etablissement Chiris Rue Ballu 13 Paris
Vrtgw. Alb. Couvreur 123 Rue Rogier Brussel
(Essences)",Bruxelles - Brussel,Belgium
"( Comptoir des Metaux Laminés 27 Rempart des Moines
( Etablts H. Cauvet Lambert Cie Bxlles
Marseille
Wraptyn Co Ltd
5 Queen Victoria Street
London",Marseille,France
"( Comptoir des Metaux Laminés 27 Rempart des Moines
( Etablts H. Cauvet Lambert Cie Bxlles
Marseille
Wraptyn Co Ltd
5 Queen Victoria Street
London",Greater London,United Kingdom
"Brennerei und Presshefe-Fabrik Tornesch
Tornesch Holstein",,
"Distilleries des Deux Sèvres
Usines à Melle, Celles & Chavagnes
Ricard, Allenet, Cie / Melle
(Deux Sèvres)",Melle,Italy
"Distilleries des Deux Sèvres
Usines à Melle, Celles & Chavagnes
Ricard, Allenet, Cie / Melle
(Deux Sèvres)",Chicago,United States
",,",,
"Aktiengesellschaft für Waldverwertung
Nottastr. 1 Zürich I",,
"Chemische Fabrik Dessau G. m. b. H.
Dessau",Dessau,Germany
L. I. G. Müller. Co Stromstr. 3 Düsseldorf,Dusseldorf,Germany
"Stahlwerk Mark
Abt. vorm. Chemische Werke Reiherstieg
Wilhelmsburg a. E.",,
"Spiritusindustrie Aktiengesellschaft
Wien I Gonzagagasse 23
Fabrik in
Schönbrunn Witkowitz
(Tschecho-Slowakei)",,
"Lorenz Hugo 7 & 8 Idol Lane
London E. C.",Greater London,United Kingdom
Cie Belge des Prod. Chim. de Schoonaarde,,
"Standard Wood Chemicals Co Ltd
23 College Hill Cannon Str. E. C. London",Greater London,United Kingdom
"Standard Wood Chemicals Co Ltd
23 College Hill Cannon Str. E. C. London",Santarém,Portugal
"Lambiotte. Cie Brussel
124 Avenue Rogier",Bruxelles - Brussel,Belgium
"Usines Electriques de la Lonza Aachenvorstadt
Bâle 12",Basel,Switzerland
"Chemische Fabrik Eidelstedt Hamburg
Repr. Alfred Kraus Brussel",Bruxelles - Brussel,Belgium
Farbwerke,,
"Holzverkohlungs-Industrie Aktiengesellschaft
Konstanz (Baden)
C. A. Kahlbaum Berlin-Adlershof
Chemische Fabrik G.m.b.H.",,
"Bureau Central de Producteurs
d'Acétone A. C. F. T. I. C
rue Puchmajerova Vinohrady - Prague",Rue,France
"Bureau Central de Producteurs
d'Acétone A. C. F. T. I. C
rue Puchmajerova Vinohrady - Prague",Vinohrady,Czechia
"Bureau Central de Producteurs
d'Acétone A. C. F. T. I. C
rue Puchmajerova Vinohrady - Prague",Prague,Czechia
"Act. Ges. Ruthenberg, 11 Weißlendamm 40
Riga",Riga,Latvia
"S. B. Donckers Roodestr. 43-45
Antwerpen Zuid.",Antwerp,Belgium
"N.V. Chemische Fabriek Gembo
Winschoten (Holland)",,
"Trüb. Täuber & Co
157 rue Franc Merjay",,
"Evershed & Vignoles Ltd
Acton Lane Works Chiswick London W. 4",Greater London,United Kingdom
"Evershed & Vignoles Ltd
Acton Lane Works Chiswick London W. 4",Chiswick,United Kingdom
"Evershed & Vignoles Ltd
Acton Lane Works Chiswick London W. 4",Acton,United Kingdom
"Ag. John Claes 12 Dupont str. Brussel
Compagnie Int. des Borax Loth",Bruxelles - Brussel,Belgium
"Sté An. La Tuyauterie Liège
31 Rue Lairesse",,
"Sté An. Spiltoir Rappez Hecq
Haine St Paul",,
"Franz Maas - Hardt
Luttringhausen",,
"Tuyauteries, Tréfileries & Constructions Ltd
St Paul",,
"Franz Seiffert & Co 8 Rue Saudier
Brussel",Bruxelles - Brussel,Belgium
"Etablissements Munzing & Co
63 & 65 Rue Ribaucourt Brussel
Agt. Fernand Bogaerts
73 Rue Lustramousat Antwerpen",Bruxelles - Brussel,Belgium
"Etablissements Munzing & Co
63 & 65 Rue Ribaucourt Brussel
Agt. Fernand Bogaerts
73 Rue Lustramousat Antwerpen",Antwerp,Belgium
"Fuld Frères Nuremberg &
Agent: Eug. Van der Meulen
1 Rue Jean Stas Leuven",Leuven,Belgium
Van Oenen - Franck Cuylitsstraat 59 Antwerpen,,
"J. A. Schmidt . Co
Groenplaats 33 Antwerpen",Antwerp,Belgium
J. Cantois 75 Rue Ducale Blles,,
"Hans Bonn Bruxelles
37 Rue du Coewe",,
"Krauss & Maier Manessestrasse 190
Zürich",Zurich,Switzerland
W. Daun Wilhelmsplatz 1 Charlottenburg,Charlottenburg,Germany
W. Daun Wilhelmsplatz 1 Charlottenburg,Daun,Germany
"Alexander Jacobs Genter Str. 28
Cöln a/Rh",,
"Leonard & Trost 5 Rue Vilette Liège
Repr. de L'Alpine Maschinenfabrik Ges.
d'Augsburg
Ferdinand Dilloër Berchem St Agathe
Steenweg vom Gent",Ghent,Belgium
"Harkortsche Bergwerke u. Chemische
Fabriken zu Schwelm und Harkorten
a Gotha <sup>A.G.</sup>
Abt Chemische Fabrik Haspe i. W.",Gotha,Germany
"Johann Georg Eisel
Griesheim",Griesheim-sur-Souffel,France
"E. G. Bede 10 Square Guttenberg
Brussel",Bruxelles - Brussel,Belgium
"Sté du Materiel d'Incendie Magirus
Ulm a/ Donau",Ulm,Germany
"Le Bureau Moderne
Oscar Gottigny 20 Avenue du Midi
Brussel",Bruxelles - Brussel,Belgium
"Henry Greenwood . Co
24 Wellington street Strand London",Wellington,New Zealand
"Henry Greenwood . Co
24 Wellington street Strand London",Greater London,United Kingdom
"Electricité & Electromecanique Sté An.
34 rue Bosquet Brussel",Bruxelles - Brussel,Belgium
"Polytechnische Buchhandlung A. Seydel
31 Königgrätzerstr. Berlin S.W.",Berlin,Germany
Hugo Büsché Bonn a/Rh.,,
Red Star Fibre Co Lier,Lier,Belgium
"Sudan Frères & Co Distillerie et Raffinerie
de Benzine Gent
Vertgw. Ch. Cautereels 10 Anselmo Str.
Antwerpen",Antwerp,Belgium
"Deutsche Chalcographie G.m.b.H
Alte Jacobstraße 123/24 Berlin S.W.",Berlin,Germany
"Brosserie Renard & Gerard 9 R. St. Merry
Parijs",Paris,France
"Feodor Burgmann Dresden Laubegast
R. Centner Fils Verviers",Verviers,Belgium
Albert Ruelle 431 Rue de Merode Brussel,Bruxelles - Brussel,Belgium
"Robert Segaert Antoine Dansaert Str. E
Brussel",Bruxelles - Brussel,Belgium
"Ph. De Ridder & ses fils
Eikenstraat 11 Antwerpen",Antwerp,Belgium
J. Haack 61 Lombarden Str. Brussel,Bruxelles - Brussel,Belgium
"C. J. Klaebe
Maschinen & Bürstenfabrik
Dresden N.6

Herrmann Müller
Dresdenerstrasse 81 Berlin S.O 16

H. Kühn Inhaber F. Littmann
Bürsten & Pinselfabrik Berlin Pankow
Heynstras. 20

Emiel Verachter
Rechtestraat 45 Lier.

Brosserie Bruxelloise L. Deber
Nouveau Boulevard 28 Vilvorde",Dresden,Germany
