Original_Text,City,Country
"Deutsch Hydrierwerke Akt. Ges. Rodleben
Agt. Hans Bonn Brussel
Cie Belge du Gaz Catalytique Brussel
7 rue de la Jonction",,
"Etabl. Lambiotte Frères Premery
Lonza Usines electriques et chimiques
Viege
Aeschenvorstadt 72 Bâle",Basel,Switzerland
"F. de la Croix Constructeur
54 Rue de l Ste Hélène Brussel",Brussels,Belgium
"Essigsäure Gesellschaft m.b.H.
Syndicat des fabr. Francfort s/M
Suivantes d'acide acetique:
I. G. Farbenindustrie Akt. Ges Höchst
Holzverkohlungs Ind. Akt. Ges. Constanz
Verein für Chem. Ind. Akt. Ges Francfort
Dr Alexander Wacker Ges. für elektrochemische
Industrie G.m.b.H. München",Frankfurt,Germany
"Gebrüder Geyer
Metall & Bronzefarbenwerke
Mühlstetten b/ Nürnberg",Nuremberg,Germany
"The Atlas Metal & Alloys Co Ltd
Agts H. Janssens Raymaekers Fils
Venusstr. 14-16 Antwerpen",Antwerp,Belgium
"Flipo & Struyve Place de la gare
Laines
Tourcoing",Tourcoing,France
"Robert Victor Neher Ltd
Aluminium rolling mills
Emmishofen (Zwitserland)",,
"Reynolds Metals Company
United States Foil Division
Louisville Ky U.S.A.",Louisville,United States
"Societa Italiana Laminazione Alluminio
Societa Anonima Sede Alessandria
Alessandria
Italia",União da Serra,Brazil
"Ph. Rosenbaum 27 rue de la Buanderie
Brussel",Brussels,Belgium
"Snoeck Ducaju Fils
rue du Roseau 68-70 Gent",Rue,France
"Snoeck Ducaju Fils
rue du Roseau 68-70 Gent",Ghent,Belgium
"Dr Alexander Wacker G.m.b.H.
Munich",Munich,Germany
L. Auerbach & Co Fürth Bayern,,
Georg Benda A.G. Nürnberg,Nuremberg,Germany
"Bronzefarbenwerke Akt Ges.
vorm. Carl Schlenk
Barnsdorf bei Nürnberg",Nuremberg,Germany
"N. Berg & Co
Fürstenwalde a. d. Spree
Postfach 60",,
"Aktien Gesellschaft für Zink Industrie
Vorm. Wilhelm Grillo Hamborn a/R",,
"Hollandsche Papier Industrie
E. De Vries . Cie 2 Place de Brouckère
Bruxelles
Agenten van Metallpapier Gesellschaft
Münich",Brussels,Belgium
"Leipziger Buchbinderei A.G.
Ritterstr. 90 Berlin S. 42",,
Kurt Peters,,
"Gummi Asbest & Schutzkleiderfabrik
Leipzig W 33 Angerbrücke",Leipzig,Germany
"Comptoir Français de Grés
& industries chimiques
3 Cité d'Hauteville Paris 10",Mexico City,Mexico
